station,pollutant,date,day_mean,validity
FR01006,O3,2003/12/05,1,1
FR01006,O3,2003/12/06,13,1
FR01006,O3,2003/12/07,33,1
FR01006,O3,2003/12/08,10,1
FR01006,O3,2003/12/09,5,1
FR01006,O3,2003/12/10,4,1
FR01006,O3,2003/12/11,16,1
FR01006,O3,2003/12/12,6,1
FR01006,O3,2003/12/13,39,1
FR01006,O3,2003/12/14,58,1
FR01006,O3,2003/12/15,44,1
FR01006,O3,2003/12/16,21,1
FR01006,O3,2003/12/17,4,1
FR01006,O3,2003/12/18,3,1
FR01006,O3,2003/12/19,1,1
FR01006,O3,2003/12/20,27,1
FR01006,O3,2003/12/21,60,1
FR01006,O3,2003/12/22,41,1
FR01006,O3,2003/12/23,24,1
FR01006,O3,2003/12/24,12,1
FR01006,O3,2003/12/25,10,1
FR01006,O3,2003/12/26,25,1
FR01006,O3,2003/12/27,47,1
FR01006,O3,2003/12/28,56,1
FR01006,O3,2003/12/29,35,1
FR01006,O3,2003/12/30,24,1
